feature,min,max,scale
cpu_m_1223,7.0,88.44444444444444,0.01227830832196453
cpu_m_1437,18.625,82.0,0.015779092702169626
cpu_m_1565,8.736842105263158,83.76923076923077,0.013327577834133705
cpu_m_1617,11.666666666666666,83.36363636363636,0.013947590870667796
cpu_m_1672,38.25,77.16666666666667,0.025695931477516056
cpu_m_1903,20.333333333333332,82.07692307692308,0.016196013289036543
cpu_m_2251,0.0,0.1,10.0
cpu_m_2544,19.75,81.46153846153847,0.016204425054534122
cpu_m_3060,15.777777777777779,89.53333333333333,0.013558300692979813
cpu_m_34,15.4,84.28571428571429,0.014516798009124844
mem_m_1223,78.66666666666667,96.83333333333333,0.05504587155963306
mem_m_1437,75.2,98.0,0.04385964912280702
mem_m_1565,72.66666666666667,96.5,0.04195804195804197
mem_m_1617,70.11111111111111,97.15384615384616,0.03697850821744626
mem_m_1672,68.9,97.06666666666666,0.03550295857988167
mem_m_1903,71.53846153846153,97.3,0.03881755747984473
mem_m_2251,3.0,4.0,1.0
mem_m_2544,67.0,97.0,0.03333333333333333
mem_m_3060,62.642857142857146,96.875,0.02921231090245175
mem_m_34,71.75,97.25,0.0392156862745098
net_in_m_1223,33.34,45.07,0.0852514919011083
net_in_m_1437,36.92999999999999,50.07999999999999,0.07604562737642587
net_in_m_1565,36.92000000000001,49.69,0.07830853563038379
net_in_m_1617,35.53636363636363,51.11000000000001,0.06421107932986977
net_in_m_1672,58.0825,77.82249999999999,0.0506585612968592
net_in_m_1903,31.490000000000002,45.99,0.06896551724137931
net_in_m_2251,0.009999999999999998,0.010000000000000002,1.0
net_in_m_2544,36.82999999999999,49.78000000000001,0.07722007722007712
net_in_m_3060,41.23,56.01,0.06765899864682003
net_in_m_34,38.33,52.46,0.07077140835102617
net_out_m_1223,24.2,32.5,0.12048192771084336
net_out_m_1437,30.175,40.99,0.09246417013407304
net_out_m_1565,27.539999999999996,36.89,0.10695187165775395
net_out_m_1617,33.92636363636364,50.919999999999995,0.058845557160434415
net_out_m_1672,43.49,57.896249999999995,0.06941431670281999
net_out_m_1903,22.97,34.9,0.08382229673093043
net_out_m_2251,0.009999999999999998,0.010000000000000002,1.0
net_out_m_2544,32.27,44.87,0.0793650793650794
net_out_m_3060,36.778888888888886,50.199999999999996,0.07450947926152827
net_out_m_34,31.97,44.26,0.08136696501220506
disk_io_m_1223,1.0,34.333333333333336,0.03
disk_io_m_1437,3.5555555555555554,76.2,0.013765677577240747
disk_io_m_1565,1.0,46.285714285714285,0.022082018927444796
disk_io_m_1617,1.0,49.75,0.020512820512820513
disk_io_m_1672,2.3333333333333335,41.2,0.025728987993138937
disk_io_m_1903,3.1,56.75,0.018639328984156572
disk_io_m_2251,0.0,0.625,1.6
disk_io_m_2544,5.0,40.416666666666664,0.02823529411764706
disk_io_m_3060,2.0,40.5625,0.02593192868719611
disk_io_m_34,2.0,40.55555555555556,0.025936599423631124
cpu_cluster_avg,15.700140502772083,73.32170354155649,0.017354614267004728
mem_cluster_avg,61.08717948717949,91.9727207977208,0.0323776096376429
net_in_cluster_avg,24.016666666666666,50.45037500000001,0.037830484750373955
net_out_cluster_avg,18.6,42.254125,0.04227592438950923
disk_io_cluster_avg,2.3809523809523814,24.308434343434342,0.045604871626892925
carbon_intensity_gCO2_kWh,116.06176003735682,544.3828656198277,0.00233469699943949
